BINOMIAL,PHYLUM_NAM,CLASS_NAME,ORDER_NAME,FAMILY_NAM,GENUS_NAME,SPECIES_NA,CATEGORY
Plerogyra simplex,CNIDARIA,ANTHOZOA,SCLERACTINIA,EUPHYLLIDAE,Plerogyra,simplex,NT
Fungia hexagonalis,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Fungia,hexagonalis,LC
Oculina robusta,CNIDARIA,ANTHOZOA,SCLERACTINIA,OCULINIDAE,Oculina,robusta,DD
Fungia paumotensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Fungia,paumotensis,LC
Goniastrea favulus,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Goniastrea,favulus,NT
Diploria labyrinthiformis,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Diploria,labyrinthiformis,LC
Favites spinosa,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favites,spinosa,VU
Catalaphyllia jardinei,CNIDARIA,ANTHOZOA,SCLERACTINIA,EUPHYLLIDAE,Catalaphyllia,jardinei,VU
Lobophyllia hataii,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Lobophyllia,hataii,LC
Porites cocosensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,cocosensis,VU
Herpolitha limax,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Herpolitha,limax,LC
Alveopora catalai,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Alveopora,catalai,NT
Acanthastrea bowerbanki,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Acanthastrea,bowerbanki,VU
Plerogyra discus,CNIDARIA,ANTHOZOA,SCLERACTINIA,EUPHYLLIDAE,Plerogyra,discus,VU
Dichocoenia stellaris,CNIDARIA,ANTHOZOA,SCLERACTINIA,MEANDRINIDAE,Dichocoenia,stellaris,DD
Stylophora subseriata,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Stylophora,subseriata,LC
Porites echinulata,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,echinulata,NT
Goniopora planulata,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Goniopora,planulata,VU
Echinopora horrida,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Echinopora,horrida,NT
Porites decasepta,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,decasepta,DD
Physogyra lichtensteini,CNIDARIA,ANTHOZOA,SCLERACTINIA,EUPHYLLIDAE,Physogyra,lichtensteini,VU
Symphyllia wilsoni,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Symphyllia,wilsoni,LC
Montastraea annularis,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Montastraea,annularis,EN
Seriatopora dendritica,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Seriatopora,dendritica,VU
Paraclavarina triangularis,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,Paraclavarina,triangularis,NT
Alveopora ocellata,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Alveopora,ocellata,DD
Caulastrea echinulata,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Caulastrea,echinulata,VU
Horastrea indica,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,Horastrea,indica,VU
Alveopora tizardi,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Alveopora,tizardi,LC
Caulastrea curvata,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Caulastrea,curvata,VU
Hydnophora microconos,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,Hydnophora,microconos,NT
Micromussa diminuta,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Micromussa,diminuta,DD
Cyphastrea hexasepta,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Cyphastrea,hexasepta,VU
Fungia horrida,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Fungia,horrida,LC
Goniastrea retiformis,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Goniastrea,retiformis,LC
Goniastrea ramosa,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Goniastrea,ramosa,VU
Porites horizontalata,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,horizontalata,VU
Scolymia cubensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Scolymia,cubensis,LC
Echinophyllia echinata,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Echinophyllia,echinata,LC
Cyphastrea decadia,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Cyphastrea,decadia,LC
Porites tuberculosa,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,tuberculosa,VU
Dendrogyra cylindrus,CNIDARIA,ANTHOZOA,SCLERACTINIA,MEANDRINIDAE,Dendrogyra,cylindrus,VU
Pocillopora meandrina,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,meandrina,LC
Fungia costulata,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Fungia,costulata,LC
Favites stylifera,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favites,stylifera,NT
Porites lutea,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,lutea,LC
Favia stelligera,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favia,stelligera,NT
Echinophyllia pectinata,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Echinophyllia,pectinata,DD
Acanthastrea subechinata,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Acanthastrea,subechinata,NT
Pectinia paeonia,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Pectinia,paeonia,NT
Oculina varicosa,CNIDARIA,ANTHOZOA,SCLERACTINIA,OCULINIDAE,Oculina,varicosa,VU
Cynarina lacrymalis,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Cynarina,lacrymalis,NT
Plesiastrea devantieri,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Plesiastrea,devantieri,NT
Platygyra daedalea,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Platygyra,daedalea,LC
Porites branneri,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,branneri,NT
Porites bernardi,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,bernardi,LC
Porites rugosa,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,rugosa,VU
Leptastrea inaequalis,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Leptastrea,inaequalis,NT
Favia rotumana,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favia,rotumana,LC
Goniopora burgosi,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Goniopora,burgosi,VU
Fungia seychellensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Fungia,seychellensis,VU
Favia vietnamensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favia,vietnamensis,NT
Favia maritima,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favia,maritima,NT
Oxypora glabra,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Oxypora,glabra,LC
